concept_key,preferred_name,semantic_definition,entity_level,value_type,cardinality,structured_shape_ref,source_of_truth_kind,read_contract,write_contract,applicability_kind,owner_candidate,representation_candidate,localization_kind,vocabulary_kind,concept_status,evidence_platforms,evidence_coverage_count,alias_concept_keys,broader_concept_key,conflicts_with_concept_keys,decision_reference,confidence,review_status,review_note
shopify:alias:collection_membership_model,Collection.sources,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,Category,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:generic_file_asset,GenericFile.url,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:gift_card_title,GiftCardProductSetInput.title,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:handle,Product.handle,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,3,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:hs_code,InventoryItem.harmonizedSystemCode,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:image_alt,Media.alt,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:image_source,"MediaImage/image originalSource mutation","Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,ConnectorTransport,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:inventory_freshness,INVENTORY_LEVELS_UPDATE,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_freshness_hint,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:inventory_policy,ProductVariant.inventoryPolicy,"Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,mixed_reviewed_owner,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,3,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
shopify:alias:market_compare_at,"PriceList fixed price compareAtPrice","Shopify provider-local concept; cross-platform equivalence is not asserted by Gate 1E.",ProviderRepresentation,surface_defined,provider_defined,not_applicable,representation,representation_evidence,representation_specific,not_applicable,ConnectorTransport,alias_with_documented_transform,not_applicable,provider_defined,representation,shopify,2,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Evidence remains provider-local and provenance-backed."
