question_key,concept_family,question,evidence_concept_keys,affected_coverage_count,existing_decision_reference,review_status,notes
amazon_ptd_applicability_versioning,ptd_applicability,"How should dynamic PTD applicability/version evidence be retained without becoming Product truth?",amazon:ptd_meta:producttype:displayname|amazon:ptd_meta:producttype:marketplaceids|amazon:ptd_meta:producttype:name|amazon:ptd_meta:producttypedefinition:displayname|amazon:ptd_meta:producttypedefinition:locale|amazon:ptd_meta:producttypedefinition:marketplaceids|amazon:ptd_meta:producttypedefinition:metaschema|amazon:ptd_meta:producttypedefinition:producttype|amazon:ptd_meta:producttypedefinition:producttypeversion|amazon:ptd_meta:producttypedefinition:propertygroups|amazon:ptd_meta:producttypedefinition:requirements|amazon:ptd_meta:producttypedefinition:requirementsenforced|amazon:ptd_meta:producttypedefinition:schema|amazon:ptd_meta:producttypelist:producttypes|amazon:ptd_meta:producttypelist:producttypeversion|amazon:ptd_meta:producttypeversion:latest|amazon:ptd_meta:producttypeversion:releasecandidate|amazon:ptd_meta:producttypeversion:version|amazon:ptd_meta:propertygroup:description|amazon:ptd_meta:propertygroup:propertynames|amazon:ptd_meta:propertygroup:title|amazon:ptd_meta:schemalink:checksum|amazon:ptd_meta:schemalink:link,23,provider-pass:cross-platform-review,OPEN,"Amazon PTD evidence retained; portable ownership or representation remains deferred."
amazon_taxonomy_category,taxonomy,"How does Amazon taxonomy map without becoming platform Category authority?",amazon:luggage:amazon_taxonomy:item_type_keyword|amazon:luggage:amazon_taxonomy:item_type_name,2,provider-pass:cross-platform-review,OPEN,"Amazon PTD evidence retained; portable ownership or representation remains deferred."
amazon_suggested_asin_identity,identity,"How should seller-suggested ASIN remain distinct from established connector identity?",amazon:luggage:merchant_suggested_asin,1,provider-pass:cross-platform-review,OPEN,"Amazon PTD evidence retained; portable ownership or representation remains deferred."
amazon_identifier_exemption,identifier_governance,"How should identifier exemption remain Amazon governance?",amazon:luggage:supplier_declared_has_product_identifier_exemption,1,provider-pass:cross-platform-review,OPEN,"Amazon PTD evidence retained; portable ownership or representation remains deferred."
amazon_offer_pricing,pricing,"How do purchasable offer and list price map while preserving their distinct pricing roles?",amazon:luggage:list_price|amazon:luggage:purchasable_offer,2,provider-pass:cross-platform-review,OPEN,"Amazon PTD evidence retained; portable ownership or representation remains deferred."
amazon_tax_classification,tax,"Which domain owns Amazon product tax classification?",amazon:luggage:product_tax_code,1,provider-pass:cross-platform-review,OPEN,"Amazon PTD evidence retained; portable ownership or representation remains deferred."
amazon_max_order_quantity,commercial,"Which Product/B2B/commercial domain owns maximum order quantity?",amazon:luggage:max_order_quantity,1,provider-pass:cross-platform-review,OPEN,"Amazon PTD evidence retained; portable ownership or representation remains deferred."
amazon_gift_options,commercial,"Which channel or commercial domain owns gift options?",amazon:luggage:gift_options,1,provider-pass:cross-platform-review,OPEN,"Amazon PTD evidence retained; portable ownership or representation remains deferred."
amazon_offer_product_media,media_scope,"How should offer-scoped media remain distinct from product media?",amazon:luggage:offer_media:additional|amazon:luggage:offer_media:primary|amazon:luggage:product_media:additional|amazon:luggage:product_media:primary|amazon:luggage:product_media:swatch,16,provider-pass:cross-platform-review,OPEN,"Amazon PTD evidence retained; portable ownership or representation remains deferred."
amazon_variant_parentage,variants,"How should Amazon parentage schema map to VariantComposition?",amazon:luggage:variant_parentage:child_parent_sku_relationship|amazon:luggage:variant_parentage:parentage_level|amazon:luggage:variant_parentage:variation_theme,3,provider-pass:cross-platform-review,OPEN,"Amazon PTD evidence retained; portable ownership or representation remains deferred."
amazon_item_package_dimensions,dimensions,"How should item dimensions remain distinct from package dimensions/weight?",amazon:luggage:item_dimensions|amazon:luggage:item_package_dimensions|amazon:luggage:item_package_weight,3,provider-pass:cross-platform-review,OPEN,"Amazon PTD evidence retained; portable ownership or representation remains deferred."
amazon_product_highlights,content,"How do bullet points and special features contribute distinct highlight representations?",amazon:luggage:highlight:bullet_point|amazon:luggage:highlight:special_feature,2,provider-pass:cross-platform-review,OPEN,"Amazon PTD evidence retained; portable ownership or representation remains deferred."
amazon_compliance_portability,compliance,"Which regulated Amazon PTD facts are portable Compliance evidence?",amazon:luggage:compliance:batteries_included|amazon:luggage:compliance:batteries_required|amazon:luggage:compliance:battery|amazon:luggage:compliance:california_proposition_65|amazon:luggage:compliance:ghs|amazon:luggage:compliance:hazmat|amazon:luggage:compliance:lithium_battery|amazon:luggage:compliance:num_batteries|amazon:luggage:compliance:number_of_lithium_ion_cells|amazon:luggage:compliance:number_of_lithium_metal_cells|amazon:luggage:compliance:pesticide_marking|amazon:luggage:compliance:supplier_declared_dg_hz_regulation|amazon:luggage:compliance:supplier_declared_material_regulation|amazon:luggage:compliance_media|amazon:luggage:safety_data_sheet_url,15,provider-pass:cross-platform-review,OPEN,"Amazon PTD evidence retained; portable ownership or representation remains deferred."
