action,target,proposed_change,status,primary_evidence
add_structured_family,dynamic_attribute_value,"attribute_code + value envelope under existing dynamic_attributes family",ACCEPTED,"Adobe Import API + customAttributeMetadataV2"
add_schema_metadata,attribute_schema,"is_filterable; is_html_allowed_on_front; is_wysiwyg_enabled; is_used_for_promo_rules; used_in_product_listing; update_product_preview_image; use_product_image_for_swatch; swatch_input_type",ACCEPTED,"Adobe customAttributeMetadataV2"
add_structured_family,category_link,"category_id + position",ACCEPTED,"Adobe REST category_links"
split_cluster,inventory_availability,"retain per-SKU policy/sellability; add inventory_topology_msi for Source/Stock/StockSourceLink/SalesChannel",ACCEPTED,"Adobe Inventory REST"
add_structured_family,grouped_product_item,"child identity + qty + position",ACCEPTED,"Adobe GraphQL GroupedProduct.items"
add_structured_subfields,customizable_file_value,"file_extension + image_size_x + image_size_y",ACCEPTED,"Adobe GraphQL CustomizableFileValue"
add_field,save_rewrites_history,"SEO/routing write-side redirect preservation control",ACCEPTED,"Adobe Import + shipped Magento V1 matrix"
add_alias,meta_keyword,"REST/EAV singular alias separate from bulk meta_keywords",ACCEPTED,"shipped Magento V1 matrix"
add_alias,tax_class_id,"REST/EAV identifier alias separate from bulk tax_class_name",ACCEPTED,"shipped Magento V1 matrix"
add_alias_group,website_assignment,"relate product_websites codes to REST website IDs/assignment without collapsing identity",ACCEPTED,"Adobe Import/REST + reviewer synthesis"
annotate_shape,giftcard_amount,"repeated/list-shaped preset amounts",ACCEPTED,"Adobe Import API"
reclassify,additional_attributes,"structured capability/container rather than scalar semantic field",ACCEPTED,"Adobe Import API"
reclassify,custom_attributes,"structured capability/container rather than scalar semantic field",ACCEPTED,"Adobe REST/GraphQL"
reclassify,product_links,"structured relation capability",ACCEPTED,"Adobe REST ProductLink"
reclassify,nested_object_sku,"reference/external identity when used as object anchor",ACCEPTED,"Adobe structured REST payloads"
add_mechanics,has_options_required_options,"external/system option mechanics; not normal merchant FieldMapping candidates; write semantics needs stronger proof",QUALIFIED,"live Magento + existing product/custom-option behavior"
replace_guess,returnable,"Adobe-Commerce-only RMA eligibility capability; do not guess Admin REST write key",QUALIFIED,"Adobe RMA docs + GraphQL is_returnable"
replace_guess,gift_wrapping,"Adobe-Commerce-only product gift-wrap capability/read representations; do not guess Admin REST write key",QUALIFIED,"Adobe product gift-options docs + GraphQL"
reject_reclass,visibility,"keep connector/channel execution context despite writable runtime",REJECTED,"03-DOMAIN_MODEL [Resolved] + shipped Magento matrix"
reclassify,tax_class_id+tax_class_name,"Pricing/Tax-owned domain values; preserve ID/name alias translation",ACCEPTED,"shipped MAGENTO_V1_PRODUCT_FIELD_MATRIX.md"
refine_structure,swatch_data,"nested swatch_data type/value representation instead of invented flat option fields",ACCEPTED,"Adobe 2.4.9 GraphQL SwatchData"
add_alias_matrix,cross_surface_aliases,"machine-readable alias groups for code/ID/name surfaces",ACCEPTED,"shipped alias-separation contract + Adobe source semantics"
add_primary_source_fields,seo_routing_read_projections,"url_rewrites; canonical_url; url_suffix; deprecated url_path",ACCEPTED,"Adobe ProductInterface current references"
add_saas_difference,attribute_file_image_values,"SaaS AttributeFile/AttributeImage implementations",ACCEPTED,"Adobe AttributeValueInterface SaaS docs"
add_structured_family,bundle_product_options+links,"Admin REST option/link subfields with identity, qty, order, defaults, price semantics",ACCEPTED,"Adobe BundleDataOptionInterface + BundleDataLinkInterface"
reclassify,bundle_scalar_settings,"Keep in bundle_composition but classify scalar *_type/*_view settings as domain_value, not generic semantic_field",MODIFIED,"[Resolved] Platform Product Capability Baseline + Adobe bundle custom_attributes"
add_structured_family,configurable_product_options+links,"Exact Admin REST configurable option/value and parent-child link structures",ACCEPTED,"Adobe ConfigurableProductDataOptionInterface + child-link API"
add_structured_family,downloadable_link+sample,"Downloadable link/sample identity, ordering, file/sample and pricing subfields",ACCEPTED,"Adobe Import API + DownloadableProduct GraphQL"
add_read_projection,giftcard_amounts,"Keep Import flat amount array; add scoped GraphQL amount objects without inferring WRITE",QUALIFIED,"Adobe GiftCardAmounts GraphQL"
reclassify,media_gallery_entries,"Structured media capability rather than flat domain value",ACCEPTED,"Adobe GalleryManagement REST"
reclassify,saas_attribute_file_image_values,"READ-only derived projections; no SaaS WRITE inference",ACCEPTED,"Adobe SaaS AttributeValueInterface / Storefront GraphQL"
add_alias_matrix,composition_and_scope_aliases,"Preserve Import keys in master; relate to REST/GraphQL shapes without raw-equality claims",ACCEPTED,"Adobe Import + Admin REST"
reject_alias,tier_price.customer_group_id,"Do not add customer_group_id to current TierPriceStorageInterface; use customer_group and Import tier_price_customer_group",REJECTED,"Adobe current Catalog Pricing REST + advanced_pricing Import"
