cluster,inventory_count,adobe_fields_and_capabilities,primary_owner_candidate,mapping_shape_candidate,platform_direction,review_status
attribute_schema,3,"attribute_sets; attribute_set_membership; attribute_definition","Connector schema metadata","schema inventory / discovery, not Product FieldMapping","connector-owned metadata","INITIAL_RESEARCH"
b2b_catalog_visibility,1,"shared_catalog_product_membership","B2B channel visibility","channel membership / policy","platform capability candidate","INITIAL_RESEARCH"
b2b_pricing,1,"shared_catalog_tier_prices","Pricing + B2B channel","pricing/channel owner","platform capability candidate","INITIAL_RESEARCH"
bundle_composition,7,"bundle_price_type; bundle_sku_type; bundle_price_view; bundle_weight_type; bundle_values; bundle_shipment_type; bundle_option","Bundle/kit composition","composition capability, not flat FieldMapping","platform capability candidate","INITIAL_RESEARCH"
catalog_scope_and_connector_context,10,"store_view_code; attribute_set_code; product_type; product_websites; product_online; visibility; website_id; attribute_set_id; type_id; website_assignment","Connector/channel scope + lifecycle projection","configuration / connector-owned context; selected fields may map semantically","mostly connector/channel-specific","INITIAL_RESEARCH"
configurable_family,4,"configurable_variations; configurable_variation_labels; configurable_option; configurable_child_link","Product family / ProductVariant","family identity + configurable option mapping","platform capability candidate","INITIAL_RESEARCH"
core_product_scalar,8,"name; description; short_description; weight; new_from_date; new_to_date; country_of_manufacture; status","Product / domain-specific owner where applicable","FieldMapping when a canonical field exists; owner-specific transform when required","mix of existing fields + universal candidates","INITIAL_RESEARCH"
customizable_options,6,"display_product_options_in; product_options_container; custom_options; custom_option_definition; has_options; required_options","Product customization capability","structured option capability and constraints; not ordinary scalar mapping","platform capability candidate","SECOND_PASS_RESEARCH"
downloadable_assets,4,"downloadable_links; downloadable_samples; downloadable_link; downloadable_sample","Digital asset/product capability","structured asset capability","platform capability candidate","INITIAL_RESEARCH"
dynamic_attributes,12,"additional_attributes; custom_attributes; manufacturer; material; color; size; instructions; gtin; mpn; brand; saas_attribute_file_value; saas_attribute_image_value","Field Dictionary / Product / ProductVariant + schema metadata","structured EAV value envelope; FieldMapping + FieldOptionMapping after schema normalization","cross-platform field candidates; target-schema dependent","SECOND_PASS_RESEARCH"
fulfillment_policy,2,"rma_eligibility; is_returnable","Returns / fulfillment policy","Adobe-Commerce-only RMA capability + read projection; exact write key unresolved","universal field candidate","QUALIFIED_RESEARCH"
gift_and_merchandising,4,"gift_message_available; gift_wrapping_capability; gift_wrapping_available; gift_wrapping_price","Merchandising","gift-message semantics + Adobe-Commerce-only gift-wrap capability/read projections; exact write key unresolved","universal/platform capability candidate","QUALIFIED_RESEARCH"
gift_card_product,14,"giftcard_type; giftcard_allow_open_amount; giftcard_open_amount_min; giftcard_open_amount_max; giftcard_amount; use_config_is_redeemable; giftcard_is_redeemable; use_config_lifetime; giftcard_lifetime; use_config_allow_message; giftcard_allow_message; use_config_email_template; giftcard_email_template; gift_card_product","Gift card product capability","specialized product capability","Adobe Commerce feature-specific","INITIAL_RESEARCH"
grouped_composition,2,"associated_skus; grouped_product_item","Grouped/composition capability","structured parent-member relation + quantity + position","platform capability candidate","SECOND_PASS_RESEARCH"
identity_lifecycle,4,"sku; created_at; updated_at; entity_id","ProductVariant identity / external system metadata","sku may map; timestamps/IDs system-owned","mixed canonical + system-owned","INITIAL_RESEARCH"
inventory_availability,25,"qty; out_of_stock_qty; use_config_min_qty; is_qty_decimal; allow_backorders; use_config_backorders; min_cart_qty; use_config_min_sale_qty; max_cart_qty; use_config_max_sale_qty; is_in_stock; notify_on_stock_below; use_config_notify_stock_qty; manage_stock; use_config_manage_stock; use_config_qty_increments; qty_increments; use_config_enable_qty_inc; enable_qty_increments; is_decimal_divided; deferred_stock_update; use_config_deferred_stock_update; source_item; stock_and_source_assignment; salable_quantity","Inventory / Availability domain (per-SKU)","per-SKU quantities/policies and derived salability; not generic Product FieldMapping","platform capability + policy candidates","SECOND_PASS_RESEARCH"
localization_store_scope,1,"store_view_overrides","Localization / connector operation scope","store-view scoped reads/writes + mapped semantic fields","needs cross-platform design review","INITIAL_RESEARCH"
media,13,"base_image; base_image_label; small_image; small_image_label; thumbnail_image; thumbnail_image_label; swatch_image; swatch_image_label; additional_images; additional_image_labels; hide_from_product_page; media_gallery_entries; media_video","Media domain","media capability with roles/labels/video, not ordinary scalar mapping","platform capability candidate","INITIAL_RESEARCH"
presentation_layout,5,"custom_design; custom_design_from; custom_design_to; custom_layout_update; page_layout","Channel/storefront presentation","connector/channel-specific presentation config","do not promote to universal Product fields by default","INITIAL_RESEARCH"
pricing,12,"price; special_price; special_price_from_date; special_price_to_date; map_price; msrp_price; map_enabled; msrp_display_actual_price_type; tier_prices; base_price_storage; special_price_storage; cost_storage","Pricing domain","PriceResolver / price lists / domain-owned pricing; not generic scalar transport","platform capability candidate","INITIAL_RESEARCH"
product_type_family,7,"simple_product; virtual_product; configurable_product; grouped_product; bundle_product; downloadable_product; gift_card_product_type","Product family/type capability","type-specific structure and execution; not a scalar FieldMapping","platform capability candidate; gift card Adobe Commerce-specific","INITIAL_RESEARCH"
reviews_ratings,2,"rating_summary; review_count","Reviews/Ratings domain","derived/read-only aggregate","derived storefront data","INITIAL_RESEARCH"
select_multiselect_options,1,"attribute_options","Field Dictionary option vocabulary","FieldOptionMapping candidate with external option identity","platform-reusable mapping capability","INITIAL_RESEARCH"
seo_routing,10,"url_key; meta_title; meta_keywords; meta_description; meta_keyword; save_rewrites_history; url_rewrites; canonical_url; url_suffix; url_path","SEO / routing","semantic SEO values + write-side redirect controls + read-only URL projections","universal field candidates","SECOND_PASS_RESEARCH"
storefront_derived_readonly,8,"catalog_service_attributes; catalog_service_images; catalog_service_links; catalog_service_input_options; catalog_service_stock_flags; catalog_service_price; catalog_service_variants; catalog_service_videos","Storefront projection owners","read-only projection; never infer write semantics from Catalog Service","derived/read-only Adobe Storefront Services","INITIAL_RESEARCH"
taxonomy_and_product_relations,9,"categories; related_skus; related_position; crosssell_skus; crosssell_position; upsell_skus; upsell_position; product_links; category_link","Category / Product relations","structured relation mapping with target identity and position","platform capability candidate","SECOND_PASS_RESEARCH"
inventory_topology_msi,4,"inventory_source; inventory_stock; inventory_stock_source_link; inventory_sales_channel","Inventory topology / connector account","Source/Stock/StockSourceLink/SalesChannel configuration; not Product FieldMapping","connector/domain capability; not canonical Product field","SECOND_PASS_RESEARCH"
tax_configuration,2,"tax_class_name; tax_class_id","Pricing / tax configuration domain","tax-class semantic mapping requires ID/name resolution; not generic scalar FieldMapping","cross-platform tax-category candidate; domain-owned","SECOND_PASS_RESEARCH"
