concept_key,preferred_name,semantic_definition,entity_level,value_type,cardinality,structured_shape_ref,source_of_truth_kind,read_contract,write_contract,applicability_kind,owner_candidate,representation_candidate,localization_kind,vocabulary_kind,concept_status,evidence_platforms,evidence_coverage_count,alias_concept_keys,broader_concept_key,conflicts_with_concept_keys,decision_reference,confidence,review_status,review_note
bigcommerce:bin_picking_number,"bin picking number","The BIN picking number for the product.",ProductAndProductVariant,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,ProductData,provider_field,not_localizable,open_or_typed,reusable_candidate,bigcommerce,2,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Shared provider concept with distinct entity binding and explicit per-row contracts."
bigcommerce:cost_price,"cost price","The cost price of the product. Stored for reference only; it is not used or displayed anywhere on the store.",ProductAndProductVariant,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Pricing,domain_value,not_localizable,open_or_typed,domain,bigcommerce,2,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Shared provider concept with distinct entity binding and explicit per-row contracts."
bigcommerce:depth,depth,"Depth of the product, which can be used when calculating shipping costs.",ProductAndProductVariant,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,ProductData,provider_field,not_localizable,open_or_typed,reusable_candidate,bigcommerce,2,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Shared provider concept with distinct entity binding and explicit per-row contracts."
bigcommerce:fixed_cost_shipping_price,"fixed cost shipping price","A fixed shipping cost for the product. If defined, this value will be used during checkout instead of normal shipping-cost calculation.",ProductAndProductVariant,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Pricing,domain_value,not_localizable,open_or_typed,domain,bigcommerce,2,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Shared provider concept with distinct entity binding and explicit per-row contracts."
bigcommerce:gtin,gtin,"Global Trade Item Number",ProductAndProductVariant,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,ProductData,provider_field,not_localizable,open_or_typed,reusable_candidate,bigcommerce,2,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Shared provider concept with distinct entity binding and explicit per-row contracts."
bigcommerce:height,height,"Height of the product, which can be used when calculating shipping costs.",ProductAndProductVariant,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,ProductData,provider_field,not_localizable,open_or_typed,reusable_candidate,bigcommerce,2,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Shared provider concept with distinct entity binding and explicit per-row contracts."
bigcommerce:inventory:stores_store_hash_v3_inventory_adjustments_absolute,"/stores/{store hash}/v3/inventory/adjustments/absolute","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",Inventory,capability,optional_one,not_applicable,merchant_or_domain,unsupported,writable,provider_context,Inventory,capability_endpoint,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:inventory:stores_store_hash_v3_inventory_adjustments_relative,"/stores/{store hash}/v3/inventory/adjustments/relative","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",Inventory,capability,optional_one,not_applicable,merchant_or_domain,unsupported,writable,provider_context,Inventory,capability_endpoint,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:inventory:stores_store_hash_v3_inventory_items,"/stores/{store hash}/v3/inventory/items","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",Inventory,capability,optional_one,not_applicable,merchant_or_domain,readable,unsupported,provider_context,Inventory,capability_endpoint,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:inventory:stores_store_hash_v3_inventory_locations,"/stores/{store hash}/v3/inventory/locations","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",Inventory,capability,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Inventory,capability_endpoint,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
