external_field,type_or_ref,classification,description,source_version,verified_at,source_url
base64EncodedName,string,external_identity_or_transport,"Output only. The **unpadded base64url encoded name** of the product input. Format: `accounts/{account}/productInputs/{productinput}` where the last section `productinput` is the unpadded base64url encoding of the `content_language~feed_label~offer_id` name. Example: `accounts/123/productInputs/ZW5-VVN-c2t1LzEyMw` for the decoded product input name `accounts/123/productInputs/en~US~sku/123`. This field can be used directly as input to the API methods that require the product input name to be encoded if it contains special characters, for example [`GetProductInput`](https://developers.google.com/merchant/api/reference/rest/products_v1/accounts.productInputs/get).",products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
base64EncodedProduct,string,external_identity_or_transport,"Output only. The **unpadded base64url encoded name** of the processed product. Format: `accounts/{account}/products/{product}` where the last section `product` is the unpadded base64url encoding of the `content_language~feed_label~offer_id` name. Example: `accounts/123/products/ZW5-VVN-c2t1LzEyMw` for the decoded product name `accounts/123/products/en~US~sku/123`. This field can be used directly as input to the API methods that require the product name to be encoded if it contains special characters, for example [`GetProduct`](https://developers.google.com/merchant/api/reference/rest/products_v1/accounts.products/get).",products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
contentLanguage,string,connector_context,Required. Immutable. The two-letter [ISO 639-1](http://en.wikipedia.org/wiki/ISO_639-1) language code for the product.,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
customAttributes,array[CustomAttribute],attribute_container,"Optional. A list of custom (merchant-provided) attributes. It can also be used for submitting any attribute of the data specification in its generic form (for example, `{ ""name"": ""size type"", ""value"": ""regular"" }`). This is useful for submitting attributes not explicitly exposed by the API. Maximum allowed number of characters for each custom attribute is 10240 (represents sum of characters for name and value). Maximum 2500 custom attributes can be set per product, with total size of 102.4kB. Underscores in custom attribute names are replaced by spaces upon insertion.",products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
feedLabel,string,connector_context,"Required. Immutable. The feed label that lets you categorize and identify your products. The maximum allowed characters are 20, and the supported characters are `A-Z`, `0-9`, hyphen, and underscore. The feed label must not include any spaces. For more information, see [Using feed labels](//support.google.com/merchants/answer/14994087).",products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
legacyLocal,boolean,connector_context,"Immutable. Determines whether the product is **only** targeting local destinations and whether the product name should be distinguished with a `local~` prefix. For example, `accounts/123/productInputs/local~en~US~sku123`. If a product that is not `legacy_local` is already targeting local destinations, creating a `legacy_local` product with an otherwise matching name will fail.",products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
name,string,external_identity_or_transport,"Identifier. The name of the product. Format: `accounts/{account}/productInputs/{productinput}` The {productinput} segment is a unique identifier for the product. This identifier must be unique within a merchant account and generally follows the structure: `content_language~feed_label~offer_id`. Example: `en~US~sku123` For legacy local products, the structure is: `local~content_language~feed_label~offer_id`. Example: `local~en~US~sku123` The format of the {productinput} segment in the URL is automatically detected by the server, supporting two options: 1. **Encoded Format**: The `{productinput}` segment is an unpadded base64url encoded string (RFC 4648 Section 5). The decoded string must result in the `content_language~feed_label~offer_id` structure. This encoding MUST be used if any part of the product identifier (like `offer_id`) contains characters such as `/`, `%`, or `~`. * Example: To represent the product ID `en~US~sku/123`, the `{productinput}` segment must be the unpadded base64url encoding of this string, which is `ZW5-VVN-c2t1LzEyMw`. The full resource name for the product would be `accounts/123/productInputs/ZW5-VVN-c2t1LzEyMw`. 2. **Plain Format**: The `{productinput}` segment is the tilde-separated string `content_language~feed_label~offer_id`. This format is suitable only when `content_language`, `feed_label`, and `offer_id` do not contain URL-problematic characters like `/`, `%`, or `~`. We recommend using the **Encoded Format** for all product IDs to ensure correct parsing, especially those containing special characters. The presence of tilde (`~`) characters in the `{productinput}` segment is used to differentiate between the two formats.",products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
offerId,string,external_offer_identity,Required. Immutable. Your unique identifier for the product. This is the same for the product input and processed product. Leading and trailing whitespaces are stripped and multiple whitespaces are replaced by a single whitespace upon submission. See the [products data specification](https://support.google.com/merchants/answer/188494#id) for details.,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
product,string,external_identity_or_transport,Output only. The name of the processed product. Format: `accounts/{account}/products/{product}`,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
productAttributes,ref:ProductAttributes,attribute_container,Optional. A list of strongly-typed product attributes.,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
versionNumber,string,external_identity_or_transport,"Optional. Immutable. Represents the existing version (freshness) of the product, which can be used to preserve the right order when multiple updates are done at the same time. If set, the insertion is prevented when version number is lower than the current version number of the existing product. Re-insertion (for example, product refresh after 30 days) can be performed with the current `version_number`. Only supported for insertions into primary data sources. Do not set this field for updates. Do not set this field for insertions into supplemental data sources. If the operation is prevented, the aborted exception will be thrown.",products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
