object_family,external_field,type_or_ref,classification,read_semantics,write_semantics,required_in,schema_evidence,description,openapi_version,verified_at,source_url
product,availability,ref:#/components/schemas/ProductBasePostAvailability,inventory_availability_domain,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"Availability of the product. (Corresponds to the productʼs [Purchasability](https://support.bigcommerce.com/s/article/Adding-Products-v3?language=en_US#sections) section in the control panel.) Supported values: `available` - the product is available for purchase; `disabled` - the product is listed on the storefront, but cannot be purchased; `preorder` - the product is listed for pre-orders.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,availability_description,string,inventory_availability_domain,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"Availability text displayed on the checkout page, under the product title. Tells the customer how long it will normally take to ship this product, such as: 'Usually ships in 24 hours.'",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,base_variant_id,integer,external_system_identity,READ,read_only_or_specialized_endpoint,none,product_Full,The unique identifier of the base variant associated with a simple product. This value is `null` for complex products.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,bin_picking_number,string,semantic_product_field,READ,WRITE,none,product_Base_POST|product_Put|product_Full,The BIN picking number for the product.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,brand_id,integer,channel_or_storefront_context,READ,WRITE,none,product_Base_POST|product_Put|product_Full,You can add a product to an existing brand during a product /PUT or /POST. Use either the `brand_id` or the `brand_name` field. The response body can include `brand_id`.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,brand_name,string,semantic_product_field,not_proven_by_selected_schema,WRITE,none,product_Base_POST|product_Put,"You can create the brand during a product PUT or POST request. If the brand already exists, the product /PUT or /POST request adds the product to the brand. If not, the product /PUT or /POST request creates the brand and then adds the product to the brand. Brand name is not case-sensitive; ""Common Good"" and ""Common good"" are the same. Use either the `brand_id` or the `brand_name` field. The response body does not include `brand_name`.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,bulk_pricing_rules,array[#/components/schemas/ProductBasePostBulkPricingRulesItems],pricing_domain,READ,WRITE,none,product_Base_POST|product_Put|product_Full,,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,calculated_price,string,computed_projection,READ,read_only_or_specialized_endpoint,none,product_Full,"The calculated_price is derived from the default price and sale price of the product. It is equal to the sale price if set or the default price if there is not a sale price present. Depending on your store settings and customer group, or channel-specific pricing, this value may or may not be equal to the price seen on the storefront.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,categories,array[number],relation_or_structured_capability,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"An array of IDs for the categories to which this product belongs. You will overwrite all product categories when updating a product and supplying an array of categories. The limit is 1,000 ID values. When you enable the catalog V2 product experience in the control panel, you must include the categories array in the request body.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,condition,ref:#/components/schemas/ProductBasePostCondition,semantic_product_field,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"The product condition. Will be shown on the product page if the `is_condition_shown` fieldʼs value is `true`. Possible values: `New`, `Used`, `Refurbished`.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,cost_price,string,pricing_domain,READ,WRITE,none,product_Base_POST|product_Put|product_Full,The cost price of the product. Stored for reference only; it is not used or displayed anywhere on the store.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,custom_fields,array[#/components/schemas/productCustomField_Put],relation_or_structured_capability,READ,WRITE,none,product_Base_POST|product_Put|product_Full,200 maximum custom fields per product. 255 maximum characters per custom field.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,custom_url,ref:#/components/schemas/customUrl_Full,semantic_product_field,READ,WRITE,none,product_Base_POST|product_Put|product_Full,,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,date_created,string,derived_or_external_metadata,READ,read_only_or_specialized_endpoint,none,product_Full,The date on which the product was created.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,date_last_imported,string,derived_or_external_metadata,READ,WRITE,none,product_Base_POST|product_Put|product_Full,the date when the Product had been imported,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,date_modified,string,derived_or_external_metadata,READ,read_only_or_specialized_endpoint,none,product_Full,"The date on which the product was last modified. This value changes when the product record itself changes, for example when you update a product using the Catalog API or edit the product in the control panel. Changes to fields such as the product's name, description, pricing, categories, custom fields, images, options, modifiers, and variants update this value. Inventory is a separate entity from the product, so a stock change does not always update `date_modified`. Inventory updates that the [Inventory API](/developer/docs/admin/catalog-and-inventory/inventory-adjustments) processes, including stock edits made from the control panel **Products** list, leave `date_modified` unchanged. Inventory updates that the Catalog API processes, such as a `PUT` request that sets `inventory_level`, update it. To track when a product or its stock changes, use the `store/product/updated` and `store/product/inventory/updated` [webhooks](/developer/docs/integrations/webhooks/event-reference/events#products) rather than polling `date_modified`.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,depth,string,semantic_product_field,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"Depth of the product, which can be used when calculating shipping costs.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,description,string,semantic_product_field,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"The product description, which can include HTML formatting.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,fixed_cost_shipping_price,string,pricing_domain,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"A fixed shipping cost for the product. If defined, this value will be used during checkout instead of normal shipping-cost calculation.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,gift_wrapping_options_list,array[integer],channel_or_storefront_context,READ,WRITE,none,product_Base_POST|product_Put|product_Full,A list of gift-wrapping option IDs. Always included in the response body; not applicable for the `include_fields` and `exclude_fields` query parameters.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,gift_wrapping_options_type,ref:#/components/schemas/ProductBasePostGiftWrappingOptionsType,channel_or_storefront_context,READ,WRITE,none,product_Base_POST|product_Put|product_Full,Type of gift-wrapping options. Values: `any` - allow any gift-wrapping options in the store; `none` - disallow gift-wrapping on the product; `list` – provide a list of IDs in the `gift_wrapping_options_list` field. Always included in the response body; not applicable for the `include_fields` and `exclude_fields` query parameters.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,gtin,string,semantic_product_field,READ,WRITE,none,product_Base_POST|product_Put|product_Full,Global Trade Item Number,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,height,string,semantic_product_field,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"Height of the product, which can be used when calculating shipping costs.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,id,integer,external_system_identity,READ,read_only_or_specialized_endpoint,none,product_Full,ID of the product. Read-Only.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,images,array[#/components/schemas/productImage_Full],media_domain,READ,WRITE,none,product_Base_POST|product_Put|product_Full,,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,inventory_level,integer,inventory_availability_domain,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"Current inventory level of the product. You must track inventory by _product_ for this to take effect (see the `inventory_tracking` field). The Catalog API returns the inventory for only the default location. The inventory for a product cannot exceed 2,147,483,647 in the catalog. If you exceed the limit, the store sets the inventory level to the limit. The Catalog API handles limits in a different way than the Inventory API. For more information, see [Limit handling](/developer/docs/admin/catalog-and-inventory/inventory-adjustments#limit-handling-in-inventory-versus-catalog-api).",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,inventory_tracking,ref:#/components/schemas/ProductBasePostInventoryTracking,inventory_availability_domain,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"The type of inventory tracking for the product. Values are: `none` - inventory levels will not be tracked; `product` - inventory levels will be tracked using the `inventory_level` and `inventory_warning_level` fields; `variant` - inventory levels will be tracked based on variants, which maintain their own warning levels and inventory levels.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,inventory_warning_level,integer,inventory_availability_domain,READ,WRITE,none,product_Base_POST|product_Put|product_Full,"Inventory warning level for the product. When the productʼs inventory level drops below the warning level, the store owner will be informed. Simple inventory tracking must be enabled (see the `inventory_tracking` field) for this to take any effect.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,is_condition_shown,boolean,channel_or_storefront_context,READ,WRITE,none,product_Base_POST|product_Put|product_Full,Flag used to determine whether the product condition is shown to the customer on the product page.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
product,is_featured,boolean,channel_or_storefront_context,READ,WRITE,none,product_Base_POST|product_Put|product_Full,Flag to determine whether the product should be included in the `featured products` panel when viewing the store.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-products.json
