question_key,concept_family,question,evidence_concept_keys,affected_coverage_count,existing_decision_reference,review_status,notes
google_availability,availability,"How does Google availability vocabulary relate to platform Availability without becoming lifecycle?",google_merchant:attribute:availability,1,provider-pass:cross-platform-review,OPEN,"Google publication fate is retained; portable decision deferred."
google_taxonomy,taxonomy,"How should Google taxonomy map without becoming platform Category authority?",google_merchant:attribute:googleproductcategory|google_merchant:attribute:producttypes,2,provider-pass:cross-platform-review,OPEN,"Google publication fate is retained; portable decision deferred."
google_vertical_applicability,verticals,"How should vehicle/property applicability be represented portably?",google_merchant:attribute:amenityfeature|google_merchant:attribute:bodystyle|google_merchant:attribute:certifiedpreowned|google_merchant:attribute:co2emissions|google_merchant:attribute:datefirstregistered|google_merchant:attribute:displayaddress|google_merchant:attribute:electricrange|google_merchant:attribute:emissionsstandard|google_merchant:attribute:energyconsumption|google_merchant:attribute:engine|google_merchant:attribute:fuelconsumption|google_merchant:attribute:fuelconsumptiondischargedbattery|google_merchant:attribute:latitude|google_merchant:attribute:leaseterm|google_merchant:attribute:longitude|google_merchant:attribute:mileage|google_merchant:attribute:model|google_merchant:attribute:neighborhood|google_merchant:attribute:numberofbathrooms|google_merchant:attribute:numberofbedrooms|google_merchant:attribute:numberofunits|google_merchant:attribute:petpolicy|google_merchant:attribute:productfee|google_merchant:attribute:propertyname|google_merchant:attribute:propertytype|google_merchant:attribute:specialtyhousingtype|google_merchant:attribute:trim|google_merchant:attribute:unitarea|google_merchant:attribute:utilitiesincluded|google_merchant:attribute:vehicleallinprice|google_merchant:attribute:vehicleexpenses|google_merchant:attribute:vehiclemandatoryinspectionincluded|google_merchant:attribute:vehiclemsrp|google_merchant:attribute:vehiclepricetype|google_merchant:attribute:vin|google_merchant:attribute:warranty|google_merchant:attribute:year,37,provider-pass:cross-platform-review,OPEN,"Google publication fate is retained; portable decision deferred."
google_identifier_exists,identifier_governance,"How should identifierExists remain publication governance?",google_merchant:attribute:identifierexists,1,provider-pass:cross-platform-review,OPEN,"Google publication fate is retained; portable decision deferred."
google_compliance,compliance,"Which Google compliance claims are portable evidence and who owns them?",google_merchant:attribute:adult|google_merchant:attribute:certifications|google_merchant:attribute:co2emissions|google_merchant:attribute:emissionsstandard|google_merchant:attribute:energyconsumption|google_merchant:attribute:energyefficiencyclass|google_merchant:attribute:maxenergyefficiencyclass|google_merchant:attribute:minenergyefficiencyclass|google_merchant:attribute:vehiclemandatoryinspectionincluded|google_merchant:attribute:warranty,10,provider-pass:cross-platform-review,OPEN,"Google publication fate is retained; portable decision deferred."
google_unit_pricing,unit_pricing,"What is the portable ownership of unit-pricing measures?",google_merchant:attribute:unitpricingbasemeasure|google_merchant:attribute:unitpricingmeasure,2,provider-pass:cross-platform-review,OPEN,"Google publication fate is retained; portable decision deferred."
google_short_title_ownership,content_ownership,"Does shortTitle belong to FieldDefinition or a Content domain, and how is it localized?",google_merchant:attribute:shorttitle,1,provider-pass:cross-platform-review,OPEN,"Google publication fate is retained; portable decision deferred."
google_sustainability_incentives,compliance,"Are sustainability incentive programs reusable Compliance evidence or Google publication context?",google_merchant:attribute:sustainabilityincentives,1,provider-pass:cross-platform-review,OPEN,"Google publication fate is retained; portable decision deferred."
google_multipack_ownership,packaging,"How does the narrow identical-product multipack quantity relate to Product and Packaging semantics?",google_merchant:attribute:multipack,1,provider-pass:cross-platform-review,OPEN,"Google publication fate is retained; portable decision deferred."
google_preorder_date,preorder,"How does availabilityDate map to preorder/backorder semantics?",google_merchant:attribute:availabilitydate,1,provider-pass:cross-platform-review,OPEN,"Google publication fate is retained; portable decision deferred."
google_landing_url,url,"How do canonicalLink/link/mobileLink differ from ordinary Product URL?",google_merchant:attribute:canonicallink|google_merchant:attribute:link|google_merchant:attribute:mobilelink,3,provider-pass:cross-platform-review,OPEN,"Google publication fate is retained; portable decision deferred."
google_processed_ownership,processed_output,"Which processed-output semantics require owner arbitration?",google_merchant:attribute:popularityrank|google_merchant:attribute:questionsandanswers,2,provider-pass:cross-platform-review,OPEN,"Google publication fate is retained; portable decision deferred."
