external_field,type_or_ref,classification,description,api_surface,read_semantics,write_semantics,source_version,verified_at,source_url
additionalImageLinks,array[string],media_domain,Additional URLs of images of the item.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
adsGrouping,string,channel_context,"Used to group items in an arbitrary way. Only for CPA%, discouraged otherwise. For more information, see [Display ads attribute](https://support.google.com/merchants/answer/6069387).",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
adsLabels,array[string],channel_context,"Similar to ads_grouping, but only works on CPC.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
adsRedirect,string,channel_context,Allows advertisers to override the item URL when the product is shown within the context of Product ads.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
adult,boolean,semantic_product_field,Set to true if the item is targeted towards adults.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
ageGroup,string,semantic_product_field,Target [age group](https://support.google.com/merchants/answer/6324463) of the item.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
amenityFeature,array[string],specialized_vertical_field:property,The amenity features for the property.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
autoPricingMinPrice,ref:Price,pricing_or_commercial_domain,"A safeguard in the [automated discounts] (https://support.google.com/merchants/answer/10295759) and ""Dynamic Promotions"" (https://support.google.com/merchants/answer/13949249) projects, ensuring that discounts on business offers do not fall below this value, thereby preserving the offer's value and profitability.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
availability,string,semantic_product_field,[Availability](https://support.google.com/merchants/answer/6324448) status of the item.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
availabilityDate,string,semantic_product_field,"The day a pre-ordered product becomes available for delivery, in [ISO 8601](http://en.wikipedia.org/wiki/ISO_8601) format.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
bodyStyle,string,specialized_vertical_field:vehicle,The [body style](https://support.google.com/google-ads/answer/14157085) of the vehicle.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
brand,string,identifier_or_identity_semantic,"[Brand](https://support.google.com/merchants/answer/6324351) of the item. For example, ""Google"".",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
canonicalLink,string,semantic_product_field,URL for the canonical version of your item's landing page.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
carrierShipping,array[CarrierShipping],shipping_returns_domain,Rules for carrier-based shipping.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
certifications,array[ProductCertification],semantic_product_field,"Product Certifications, for example for energy efficiency labeling of products recorded in the [EU EPREL](https://eprel.ec.europa.eu/screen/home) database. For more information, see [Certification](https://support.google.com/merchants/answer/13528839).",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
certifiedPreOwned,boolean,specialized_vertical_field:vehicle,Whether the vehicle is OEM [certified pre-owned](https://support.google.com/google-ads/answer/14156475).,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
