concept_key,concept_name,current_registry_state,adobe_evidence,shopify_evidence,google_evidence,bigcommerce_evidence,amazon_evidence,project_or_standard_evidence,platform_owner_candidate,representation_candidate,canonical_decision,canonical_scope,enrichment_policy,rationale,review_status
internal_product_id,Internal Product ID,existing,none,none,none,none,none,current canonical registry + project domain contract,Product,core_model_property,KEEP_PLATFORM_CANONICAL,system,SOURCE_FACT_REQUIRED,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
name,Product Name,existing,name,Product.title,title,Product.name,item_name,current canonical registry + project domain contract,Product,core_model_property,KEEP_PLATFORM_CANONICAL,system,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
brand,Brand,existing,brand / account attribute,Product.vendor is a provider vendor label; no automatic canonical brand equivalence,brand,Product.brand_name,brand,current canonical registry + project domain contract,Product,core_model_property,KEEP_PLATFORM_CANONICAL,system,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
category,Category,existing,category_links external category relation; connector mapping required,Product.category and collections are distinct taxonomy/collection contexts; not Merchant Category equivalence,googleProductCategory is Google-controlled taxonomy context; productTypes is merchant-defined category-path text; neither is Merchant Category identity and equivalence remains open,Product.categories external category relation; connector mapping required,none; PTD productType and item_type taxonomy are tracked in separate provider-only rows,current canonical registry + project domain contract,Category,relation,KEEP_PLATFORM_CANONICAL,system,CONTEXT_DEPENDENT,Canonical category remains the workspace-owned Merchant Category relation. External category/taxonomy/collection surfaces are mapping or classification context and are not evidence of identity/equivalence with the workspace Category tree.,FINAL_ARBITRATION_CORRECTION
description,Description,existing,description,Product.descriptionHtml,description,Product.description,product_description,current canonical registry + project domain contract,FieldDefinition,dynamic_field,KEEP_PLATFORM_CANONICAL,system,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
short_description,Short Description,existing,short_description,none,none (shortTitle is a title),none,none,current canonical registry + project domain contract,FieldDefinition,dynamic_field,KEEP_PLATFORM_CANONICAL,platform_library,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
status,Product Status,existing,status — current boolean enabled/disabled transformed mapping only (DEC-010); future richer lifecycle not established,Product.status has four lifecycle states and separate publication; canonical boolean status equivalence is partial,pause/archive are channel state,"Product.is_visible is storefront state, not lifecycle",listing status is external state,current canonical registry + project domain contract,Product,core_model_property,KEEP_PLATFORM_CANONICAL,system,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
url,Product URL,existing,url_key is slug/path input; not absolute canonical URL equivalence,Shopify handle is slug identity; online absolute URL is mapping evidence only when source guarantees customer-facing URL semantics,link is the primary merchant landing-page representation mapped via transform; canonicalLink/mobileLink remain provider/context-specific sibling URL roles,Product.custom_url is path/URL representation; transformation/context required before canonical absolute URL,none,current canonical registry + project domain contract,Product,core_model_property,KEEP_PLATFORM_CANONICAL,system,CONTEXT_DEPENDENT,Canonical url remains the primary absolute customer-facing product page URL. Provider slugs paths handles and landing-link families are connector/channel representations requiring transform/context and are not direct semantic equivalence.,FINAL_ARBITRATION_CORRECTION
merchant_type,Merchant Type,existing,none,Product.productType,"productTypes is feed classification, not merchant free-form type","Product.type is physical/digital, not merchant type","Amazon productType is schema classification, not merchant type",current canonical registry + project domain contract,Product,core_model_property,KEEP_PLATFORM_CANONICAL,system,CONTEXT_DEPENDENT,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
onec_guid,1C GUID,existing,none,none,none,none,none,current canonical registry + project domain contract,ExternalRecordLink,external_identity,KEEP_GOVERNANCE_NON_FIELD,not_applicable,SOURCE_FACT_REQUIRED,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
sku,SKU,existing,sku,ProductVariant.sku,offerId on ProductInput surface often seller SKU representation,ProductVariant.sku,Listings Items seller SKU identity,current canonical registry + project domain contract,ProductVariant,core_model_property,KEEP_PLATFORM_CANONICAL,system,SOURCE_FACT_REQUIRED,Preserve existing project-owned semantic/domain/governance decision unless cross-platform evidence proves a conflict; no such conflict found in this pass.,LEAD_SYNTHESIS
