alias_group,semantic_concept,surface_key,source_surface,identity_rule,review_status
product_title,Product title/name,Product.title,admin_graphql_product,same merchant semantic; GraphQL current authority,INITIAL_RESEARCH
product_title,Product title/name,Title,product_csv,same merchant semantic; GraphQL current authority,INITIAL_RESEARCH
product_title,Product title/name,title,admin_rest_legacy,same merchant semantic; GraphQL current authority,INITIAL_RESEARCH
product_description,Product rich description,Product.descriptionHtml,admin_graphql_product,same rich description representation; plain Product.description is derived text,INITIAL_RESEARCH
product_description,Product rich description,Description,product_csv,same rich description representation; plain Product.description is derived text,INITIAL_RESEARCH
product_description,Product rich description,body_html,admin_rest_legacy,same rich description representation; plain Product.description is derived text,INITIAL_RESEARCH
vendor,Vendor/brand-like label,Product.vendor,admin_graphql_product,raw external equality does not prove canonical brand equivalence,INITIAL_RESEARCH
vendor,Vendor/brand-like label,Vendor,product_csv,raw external equality does not prove canonical brand equivalence,INITIAL_RESEARCH
vendor,Vendor/brand-like label,vendor,admin_rest_legacy,raw external equality does not prove canonical brand equivalence,INITIAL_RESEARCH
merchant_type,Merchant-defined product type,Product.productType,admin_graphql_product,merchant classification; distinct from platform ProductType template,INITIAL_RESEARCH
merchant_type,Merchant-defined product type,Type,product_csv,merchant classification; distinct from platform ProductType template,INITIAL_RESEARCH
merchant_type,Merchant-defined product type,product_type,admin_rest_legacy,merchant classification; distinct from platform ProductType template,INITIAL_RESEARCH
tags,Merchant tags,Product.tags,admin_graphql_product,multi-value representation differs by surface,INITIAL_RESEARCH
tags,Merchant tags,Tags,product_csv,multi-value representation differs by surface,INITIAL_RESEARCH
tags,Merchant tags,tags,admin_rest_legacy,multi-value representation differs by surface,INITIAL_RESEARCH
handle,Shopify product handle,Product.handle,admin_graphql_product,connector routing identity; not canonical absolute URL,INITIAL_RESEARCH
handle,Shopify product handle,URL handle,product_csv,connector routing identity; not canonical absolute URL,INITIAL_RESEARCH
handle,Shopify product handle,handle,admin_rest_legacy,connector routing identity; not canonical absolute URL,INITIAL_RESEARCH
product_status,Product lifecycle status,Product.status,admin_graphql_product,normalize enum per current GraphQL,INITIAL_RESEARCH
product_status,Product lifecycle status,Status,product_csv,normalize enum per current GraphQL,INITIAL_RESEARCH
product_status,Product lifecycle status,status,admin_rest_legacy,normalize enum per current GraphQL,INITIAL_RESEARCH
taxonomy_category,Shopify taxonomy category,Product.category.id,admin_graphql_product,GID/category representation vs CSV taxonomy text; not merchant navigation category,INITIAL_RESEARCH
taxonomy_category,Shopify taxonomy category,Product category,product_csv,GID/category representation vs CSV taxonomy text; not merchant navigation category,INITIAL_RESEARCH
variant_sku,Variant SKU,ProductVariant.inventoryItem.sku,admin_graphql_variant,variant/inventory-item representation alias,INITIAL_RESEARCH
