topic_enum,topic,cluster,trigger_semantics,required_scope_or_context,connector_use,critical_caveat,source_surface,review_status
BULK_OPERATIONS_FINISH,bulk_operations/finish,connector_bulk_transport,bulk async completion,read-only event hint,near-real-time freshness hint,Use as completion hint; operation result remains authoritative.,shopify_webhooks,LEAD_COMPLETENESS_PASS
PRODUCTS_CREATE,products/create,product_identity_lifecycle,Product created,read_products,near-real-time freshness hint,Fetch authoritative current Product state after event.,shopify_webhooks,LEAD_COMPLETENESS_PASS
PRODUCTS_UPDATE,products/update,product_identity_lifecycle,Product updated; also fires when variants are added/removed/updated and when product is ordered,read_products,near-real-time freshness hint,Broad topic; cannot infer exact changed field from topic alone.,shopify_webhooks,LEAD_COMPLETENESS_PASS
PRODUCTS_DELETE,products/delete,product_identity_lifecycle,Product deleted,read_products,near-real-time freshness hint,Deletion/tombstone hint; reconcile ExternalRecordLink semantics later.,shopify_webhooks,LEAD_COMPLETENESS_PASS
PRODUCT_PUBLICATIONS_CREATE,product_publications/create,publication_visibility,Product publication created,read_publications,near-real-time freshness hint,Publication change scope is app-sensitive.,shopify_webhooks,LEAD_COMPLETENESS_PASS
PRODUCT_PUBLICATIONS_UPDATE,product_publications/update,publication_visibility,Product publication updated,read_publications,near-real-time freshness hint,Emitted only for publishing changes to the subscribed app; not all other-channel changes.,shopify_webhooks,LEAD_COMPLETENESS_PASS
PRODUCT_PUBLICATIONS_DELETE,product_publications/delete,publication_visibility,Product publication removed,read_publications,near-real-time freshness hint,Publication-specific event.,shopify_webhooks,LEAD_COMPLETENESS_PASS
INVENTORY_ITEMS_CREATE,inventory_items/create,inventory_item,InventoryItem created,read_inventory or read_products,near-real-time freshness hint,InventoryItem freshness hint.,shopify_webhooks,LEAD_COMPLETENESS_PASS
INVENTORY_ITEMS_UPDATE,inventory_items/update,inventory_item,InventoryItem updated,read_inventory or read_products,near-real-time freshness hint,Refresh InventoryItem semantics.,shopify_webhooks,LEAD_COMPLETENESS_PASS
INVENTORY_ITEMS_DELETE,inventory_items/delete,inventory_item,InventoryItem deleted,read_inventory or read_products,near-real-time freshness hint,Inventory identity deletion hint.,shopify_webhooks,LEAD_COMPLETENESS_PASS
INVENTORY_LEVELS_CONNECT,inventory_levels/connect,inventory_locations_quantities,InventoryItem connected to Location,read_inventory,near-real-time freshness hint,Location-level inventory topology hint.,shopify_webhooks,LEAD_COMPLETENESS_PASS
INVENTORY_LEVELS_UPDATE,inventory_levels/update,inventory_locations_quantities,InventoryLevel updated,read_inventory,near-real-time freshness hint,Quantity/location freshness hint.,shopify_webhooks,LEAD_COMPLETENESS_PASS
INVENTORY_LEVELS_DISCONNECT,inventory_levels/disconnect,inventory_locations_quantities,InventoryItem disconnected from Location,read_inventory,near-real-time freshness hint,Topology removal hint.,shopify_webhooks,LEAD_COMPLETENESS_PASS
COLLECTIONS_CREATE,collections/create,collections_relations,Collection created,read_products,near-real-time freshness hint,Refresh Collection state.,shopify_webhooks,LEAD_COMPLETENESS_PASS
COLLECTIONS_UPDATE,collections/update,collections_relations,Collection updated/manual membership or rule change,read_products,near-real-time freshness hint,Does NOT fire when Product attribute changes merely alter rule matching; reconciliation required.,shopify_webhooks,LEAD_COMPLETENESS_PASS
COLLECTIONS_DELETE,collections/delete,collections_relations,Collection deleted,read_products,near-real-time freshness hint,Collection identity deletion hint.,shopify_webhooks,LEAD_COMPLETENESS_PASS
SELLING_PLAN_GROUPS_CREATE,selling_plan_groups/create,selling_plans_purchase_options,SellingPlanGroup created,read_products,near-real-time freshness hint,App-owned purchase-option freshness.,shopify_webhooks,LEAD_COMPLETENESS_PASS
SELLING_PLAN_GROUPS_UPDATE,selling_plan_groups/update,selling_plans_purchase_options,SellingPlanGroup updated,read_products,near-real-time freshness hint,Refresh group/plans.,shopify_webhooks,LEAD_COMPLETENESS_PASS
SELLING_PLAN_GROUPS_DELETE,selling_plan_groups/delete,selling_plans_purchase_options,SellingPlanGroup deleted,read_products,near-real-time freshness hint,App-owned deletion; note uninstall retention semantics.,shopify_webhooks,LEAD_COMPLETENESS_PASS
PROFILES_CREATE,profiles/create,delivery_profiles,DeliveryProfile created,read_shipping or read_assigned_shipping,near-real-time freshness hint,Fulfillment profile freshness.,shopify_webhooks,LEAD_COMPLETENESS_PASS
PROFILES_UPDATE,profiles/update,delivery_profiles,DeliveryProfile updated,read_shipping or read_assigned_shipping,near-real-time freshness hint,Fulfillment profile freshness.,shopify_webhooks,LEAD_COMPLETENESS_PASS
PROFILES_DELETE,profiles/delete,delivery_profiles,DeliveryProfile deleted,read_shipping or read_assigned_shipping,near-real-time freshness hint,Fulfillment profile deletion.,shopify_webhooks,LEAD_COMPLETENESS_PASS
MARKETS_CREATE,markets/create,pricing_contextual_catalogs,Market created,market scope varies,near-real-time freshness hint,Refresh market/catalog context.,shopify_webhooks,LEAD_COMPLETENESS_PASS
