concept_key,preferred_name,semantic_definition,entity_level,value_type,cardinality,structured_shape_ref,source_of_truth_kind,read_contract,write_contract,applicability_kind,owner_candidate,representation_candidate,localization_kind,vocabulary_kind,concept_status,evidence_platforms,evidence_coverage_count,alias_concept_keys,broader_concept_key,conflicts_with_concept_keys,decision_reference,confidence,review_status,review_note
google_merchant:attribute:additionalimagelinks,additionalImageLinks,"Google Merchant provider-local publication semantic.",ProcessedProductAttribute,list,optional_one,not_applicable,google_publication_or_submission,processed_publication_output,conditional_write_by_data_spec,provider_contextual,Media,publication_media_binding,publication_language_context_not_localization,provider_controlled_or_typed,domain,google_merchant,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Single physical Google representation; cross-platform merge deferred."
google_merchant:attribute:adsgrouping,adsGrouping,"Google Merchant provider-local publication semantic.",ProcessedProductAttribute,string,optional_one,not_applicable,google_publication_or_submission,processed_publication_output,conditional_write_by_data_spec,provider_contextual,Connector,publication_channel_control,publication_language_context_not_localization,provider_controlled_or_typed,channel,google_merchant,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Single physical Google representation; cross-platform merge deferred."
google_merchant:attribute:adslabels,adsLabels,"Google Merchant provider-local publication semantic.",ProcessedProductAttribute,list,optional_one,not_applicable,google_publication_or_submission,processed_publication_output,conditional_write_by_data_spec,provider_contextual,Connector,publication_channel_control,publication_language_context_not_localization,provider_controlled_or_typed,channel,google_merchant,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Single physical Google representation; cross-platform merge deferred."
google_merchant:attribute:adsredirect,adsRedirect,"Google Merchant provider-local publication semantic.",ProcessedProductAttribute,string,optional_one,not_applicable,google_publication_or_submission,processed_publication_output,conditional_write_by_data_spec,provider_contextual,Connector,publication_channel_control,publication_language_context_not_localization,provider_controlled_or_typed,channel,google_merchant,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Single physical Google representation; cross-platform merge deferred."
google_merchant:attribute:adult,adult,"Google Merchant provider-local publication semantic.",ProcessedProductAttribute,boolean,optional_one,not_applicable,google_publication_or_submission,processed_publication_output,conditional_write_by_data_spec,provider_contextual,Compliance,publication_compliance_evidence,publication_language_context_not_localization,provider_controlled_or_typed,domain,google_merchant,1,not_applicable,not_applicable,not_applicable,queue:google_compliance,supported,DEFERRED_REVIEW,"Single physical Google representation; cross-platform merge deferred."
google_merchant:attribute:agegroup,ageGroup,"Google Merchant provider-local publication semantic.",ProcessedProductAttribute,string,optional_one,not_applicable,google_publication_or_submission,processed_publication_output,conditional_write_by_data_spec,provider_contextual,ProductData,processed_output_with_conditional_input_binding,publication_language_context_not_localization,provider_controlled_or_typed,reusable_candidate,google_merchant,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Single physical Google representation; cross-platform merge deferred."
google_merchant:attribute:amenityfeature,amenityFeature,"Google Merchant provider-local publication semantic.",ProcessedProductAttribute,list,optional_one,not_applicable,google_publication_or_submission,processed_publication_output,conditional_write_by_data_spec,provider_contextual,PropertyVertical,vertical_scoped_publication_attribute,publication_language_context_not_localization,provider_controlled_or_typed,category_candidate,google_merchant,1,not_applicable,not_applicable,not_applicable,queue:google_vertical_applicability,supported,DEFERRED_REVIEW,"Single physical Google representation; cross-platform merge deferred."
google_merchant:attribute:autopricingminprice,autoPricingMinPrice,"Google Merchant provider-local publication semantic.",ProcessedProductAttribute,structured,optional_one,not_applicable,google_publication_or_submission,processed_publication_output,conditional_write_by_data_spec,provider_contextual,Pricing,publication_commercial_binding,publication_language_context_not_localization,provider_controlled_or_typed,domain,google_merchant,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Single physical Google representation; cross-platform merge deferred."
google_merchant:attribute:availability,availability,"Google Merchant provider-local publication semantic.",ProcessedProductAttribute,string,optional_one,not_applicable,google_publication_or_submission,processed_publication_output,conditional_write_by_data_spec,provider_contextual,Availability,publication_availability_binding,publication_language_context_not_localization,provider_controlled_or_typed,domain,google_merchant,1,not_applicable,not_applicable,not_applicable,queue:google_availability,supported,DEFERRED_REVIEW,"Single physical Google representation; cross-platform merge deferred."
google_merchant:attribute:availabilitydate,availabilityDate,"Google Merchant provider-local publication semantic.",ProcessedProductAttribute,string,optional_one,not_applicable,google_publication_or_submission,processed_publication_output,conditional_write_by_data_spec,provider_contextual,Availability,publication_availability_binding,publication_language_context_not_localization,provider_controlled_or_typed,domain,google_merchant,1,not_applicable,not_applicable,not_applicable,queue:google_preorder_date,supported,DEFERRED_REVIEW,"Single physical Google representation; cross-platform merge deferred."
