cluster,inventory_count,shopify_fields_and_capabilities_sample,primary_owner_candidate,mapping_shape_candidate,platform_direction,review_status
bundle_composition,15,Product.bundleComponents; Product.bundleConsolidatedOptions; Product.hasVariantsThatRequiresComponents; Product.productComponents; Product.productComponentsCount; Product.productParents; ProductVariant.productParents; ProductVariant.productVariantComponents; ProductVariant.requiresComponents; ProductBundleComponent.componentProduct; ProductBundleComponent.componentVariants; ProductBundleComponent.componentVariantsCount; ...,Product composition,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
collections_relations,46,Product.collections; Product.inCollection; Product.variantsInCollection; Product.variantsInCollectionCount; Collection.activeOperations; Collection.description; Collection.descriptionHtml; Collection.events; Collection.feedback; Collection.handle; Collection.hasProduct; Collection.id; ...,Category/relations,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
combined_listings,6,Product.combinedListing; Product.combinedListingRole; CombinedListing.combinedListingChildren; CombinedListing.parentProduct; CombinedListingChild.parentVariant; CombinedListingChild.product,Product family/composition,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
connector_bulk_transport,10,BulkOperationCapability.bulkOperationRunQuery; BulkOperationCapability.bulkOperationRunMutation; BulkOperationCapability.query_connection_limit; BulkOperationCapability.result_retention; BulkOperationCapability.query_concurrency; BulkOperationCapability.mutation_jsonl; BulkOperationCapability.partialDataUrl; BulkOperationCapability.objectCount; BulkOperationCapability.rootObjectCount; BulkOperationCapability.status,Connector transport/runtime,domain seam / structured capability,connector transport/freshness runtime; not FieldMapping,LEAD_COMPLETENESS_PASS
connector_freshness_events,10,WebhookSubscription.apiVersion; WebhookSubscription.filter; WebhookSubscription.format; WebhookSubscription.id; WebhookSubscription.includeFields; WebhookSubscription.metafieldNamespaces; WebhookSubscription.metafields; WebhookSubscription.name; WebhookSubscription.topic; WebhookSubscription.uri,Connector freshness/runtime,domain seam / structured capability,connector transport/freshness runtime; not FieldMapping,LEAD_COMPLETENESS_PASS
delivery_profiles,17,ProductVariant.deliveryProfile; DeliveryProfile.id; DeliveryProfile.name; DeliveryProfile.profileItems; DeliveryProfile.profileLocationGroups; DeliveryProfile.productVariantsCount; DeliveryProfile.coversAllItems,Fulfillment/shipping,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
dynamic_metafields,35,Product.metafield; Product.metafields; ProductVariant.metafield; ProductVariant.metafields; Metafield.compareDigest; Metafield.definition; Metafield.jsonValue; Metafield.key; Metafield.namespace; Metafield.owner; Metafield.ownerType; Metafield.reference; ...,Field Dictionary / connector schema,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
event_history,2,Product.events; ProductVariant.events,Connector audit metadata,domain seam / structured capability,mostly external/system-owned or read-only,LEAD_COMPLETENESS_PASS
external_identity_metadata,18,Product.createdAt; Product.defaultCursor; Product.id; Product.legacyResourceId; Product.updatedAt; ProductVariant.createdAt; ProductVariant.defaultCursor; ProductVariant.id; ProductVariant.legacyResourceId; ProductVariant.updatedAt; InventoryItem.createdAt; InventoryItem.id; ...,Connector identity/metadata,domain seam / structured capability,mostly external/system-owned or read-only,LEAD_COMPLETENESS_PASS
gift_card_product,31,Product.giftCardSettings; Product.giftCardTemplateSuffix; Product.isGiftCard; ProductCSV.Gift card; GiftCardProductSetInput.collections; GiftCardProductSetInput.crossCurrencyRedeemable; GiftCardProductSetInput.descriptionHtml; GiftCardProductSetInput.files; GiftCardProductSetInput.giftCardTemplateSuffix; GiftCardProductSetInput.handle; GiftCardProductSetInput.issuanceCurrency; GiftCardProductSetInput.metafields; ...,Product/gift-card capability,domain seam / structured capability,candidate bidirectional; certify per row,LEAD_COMPLETENESS_PASS
