concept_key,concept_name,current_status,current_scope,current_kind,current_owner,current_binding,current_verification,current_action,registry_state,lead_decision,proposed_status,proposed_scope_or_owner,proposed_binding,confidence,evidence_summary,materialization_gate,lead_note
internal_product_id,Internal Product ID,active,system,core_model_property,Product,product,verified,keep_as_is,CURRENT_65,KEEP_AS_IS,active,system / Product,product,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
name,Product Name,active,system,core_model_property,Product,product,verified,keep_as_is,CURRENT_65,KEEP_AS_IS,active,system / Product,product,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
brand,Brand,active,system,core_model_property,Product,product,verified,keep_as_is,CURRENT_65,KEEP_CLARIFY_SEMANTICS,active,system / Product,product,HIGH,Five-provider evidence separates neutral Brand from manufacturer and Shopify vendor.,EXISTING_CONTRACT,Change description to Brand only; manufacturer and vendor are distinct concepts.
category,Category,active,system,relation,Category,product,verified,relation_not_field,CURRENT_65,KEEP_AS_IS,active,system / Category,product,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
description,Description,active,system,dynamic_field,FieldDefinition,product,verified,keep_as_is,CURRENT_65,KEEP_AS_IS,active,system / FieldDefinition,product,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
short_description,Short Description,proposed,platform_library,dynamic_field,FieldDefinition,product,partially_verified,add_to_platform_library,CURRENT_65,KEEP_PROPOSED,proposed,platform_library / FieldDefinition,product,MEDIUM,"Adobe short_description supports the concept; Google shortTitle and Shopify subtitle are title/summary siblings, not proven exact equivalents.",SECOND_EXACT_SOURCE_OR_ARBITRATION,Do not promote by treating short title/subtitle as short description.
status,Product Status,active,system,core_model_property,Product,product,verified,keep_as_is,CURRENT_65,KEEP_CLARIFY_SEMANTICS,active,system / Product,product,HIGH,"Adobe status transform, Shopify ProductStatus, Google publication controls and BigCommerce visibility are not one universal state.",EXISTING_CONTRACT,Keep internal lifecycle/active-state concept; explicitly exclude channel publication/visibility from the definition.
url,Product URL,active,system,core_model_property,Product,product,verified,keep_as_is,CURRENT_65,KEEP_AS_IS,active,system / Product,product,HIGH,"Google link supports absolute landing URL; Adobe url_key, BigCommerce custom_url and Shopify handle are route/slug representations.",EXISTING_CONTRACT,Keep absolute customer-facing URL. Add slug separately; never map handle/url_key/custom_url as raw url equality.
merchant_type,Merchant Type,active,system,core_model_property,Product,product,verified,keep_as_is,CURRENT_65,KEEP_AS_IS,active,system / Product,product,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
onec_guid,1C GUID,active,not_applicable,external_identity,ExternalRecordLink,not_applicable,verified,external_identity_only,CURRENT_65,KEEP_AS_IS,active,not_applicable / ExternalRecordLink,not_applicable,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
sku,SKU,active,system,core_model_property,ProductVariant,product_variant,verified,keep_as_is,CURRENT_65,KEEP_AS_IS,active,system / ProductVariant,product_variant,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
gtin,GTIN,active,system,core_model_property,ProductVariant,product_variant,verified,keep_as_is,CURRENT_65,KEEP_CLARIFY_SEMANTICS,active,system / ProductVariant,product_variant,HIGH,GS1 defines GTIN; Shopify exposes generic barcode plus separate UPC/EAN standard definitions.,EXISTING_CONTRACT,GTIN is not arbitrary barcode text. Valid UPC/EAN representations may normalize to GTIN; generic barcode requires validation.
barcode_box,Box Barcode,active,system,core_model_property,Product,product,verified,keep_as_is,CURRENT_65,KEEP_AS_IS,active,system / Product,product,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
mpn,Manufacturer Part Number,active,platform_library,dynamic_field,FieldDefinition,product_variant,verified,add_to_platform_library,CURRENT_65,KEEP_AS_IS,active,platform_library / FieldDefinition,product_variant,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
identifier_exists,Identifier Exists Flag,proposed,not_applicable,connector_only,ConnectorMapping,not_applicable,partially_verified,connector_mapping_only,CURRENT_65,KEEP_AS_IS,proposed,not_applicable / ConnectorMapping,not_applicable,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
price,Price,active,system,pricing_domain,PriceListItem,product_variant,verified,covered_by_existing_domain,CURRENT_65,KEEP_AS_IS,active,system / PriceListItem,product_variant,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
sale_price,Sale Price,active,system,pricing_domain,PriceListItem,product_variant,verified,covered_by_existing_domain,CURRENT_65,KEEP_AS_IS,active,system / PriceListItem,product_variant,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
cost_price,Cost Price,active,system,pricing_domain,PriceListItem,product_variant,verified,covered_by_existing_domain,CURRENT_65,KEEP_AS_IS,active,system / PriceListItem,product_variant,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
availability,Availability,active,system,inventory_domain,calculated,product_variant,verified,covered_by_existing_domain,CURRENT_65,KEEP_AS_IS,active,system / calculated,product_variant,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
image,Main Image,active,system,media_domain,MediaAsset,product_variant,verified,covered_by_existing_domain,CURRENT_65,KEEP_AS_IS,active,system / MediaAsset,product_variant,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
images,Product Images,active,system,media_domain,Product,product,verified,covered_by_existing_domain,CURRENT_65,KEEP_AS_IS,active,system / Product,product,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
condition,Condition,proposed,platform_library,dynamic_field,FieldDefinition,product_variant,verified,add_to_platform_library,CURRENT_65,PROMOTE_ACTIVE_VERIFIED,active,platform_library / FieldDefinition,product_variant,HIGH,Google condition + BigCommerce condition + Amazon condition_type independently confirm the commerce concept; current registry already marks verification=verified.,DOC_APPROVAL_THEN_LIBRARY_SEED,Semantic promotion is now justified; keep current Variant binding unless later offer-domain work proves a need to split offer condition.
unit,Unit of Measure,active,system,core_model_property,Product,product,verified,keep_as_is,CURRENT_65,KEEP_AS_IS,active,system / Product,product,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
min_order_quantity,Minimum Order Quantity,active,system,core_model_property,Product,product,verified,keep_as_is,CURRENT_65,KEEP_AS_IS,active,system / Product,product,HIGH,Current canonical registry + project/domain contract; no five-provider blocker found.,EXISTING_CONTRACT,No semantic change proposed.
