surface,edition_scope,version_scope,primary_role,read_write_semantics,inventory_use,refresh_model,authoritative_url
catalog_product_import_json,"Magento Open Source + Adobe Commerce PaaS","current Adobe docs; payload is edition-sensitive","broad merchant-side product payload","bulk import/write-oriented; validate per field/capability before certification","baseline field/capability enumeration and structured product-type mechanics","versioned baseline research","https://developer.adobe.com/commerce/webapi/rest/modules/import/"
admin_rest_reference,"Magento Open Source + Adobe Commerce PaaS","latest PaaS reference; GraphQL docs explicitly expose 2.4.9 as current","administrative product/schema APIs","mixed READ/WRITE; endpoint-specific","product CRUD, attributes, Attribute Sets, options, media, configurable, bundle, downloadable, website assignment","versioned baseline + live endpoint capability checks","https://developer.adobe.com/commerce/webapi/rest/reference/"
core_graphql_product_schema,"Magento Open Source + Adobe Commerce PaaS","2.4.9 current reference plus compatibility references","typed storefront/catalog representation and product-type interfaces","primarily query/storefront semantics; mutations are not a substitute for Admin REST product-write inventory","product types, interface-specific fields, query-visible semantics","versioned schema / introspection where available","https://developer.adobe.com/commerce/webapi/graphql/reference/"
saas_rest,"Adobe Commerce as a Cloud Service","SaaS current","Cloud Service REST subset","smaller REST surface; IMS-auth; Store header scope; endpoint-specific READ/WRITE","edition separation and SaaS-only integration capabilities","Adobe SaaS reference + live tenant capability","https://developer.adobe.com/commerce/webapi/rest/"
saas_graphql,"Adobe Commerce as a Cloud Service","SaaS current","primary storefront/core GraphQL surface","query and mutation semantics per SaaS schema; core products/categories replaced by Catalog Service equivalents","edition separation, storefront field availability and migration differences","autogenerated SaaS schema / introspection","https://developer.adobe.com/commerce/webapi/graphql/reference/"
catalog_service_storefront_services,"Adobe Commerce PaaS extension + Adobe Commerce SaaS included","current SaaS service schema","read-optimized ProductView/catalog projection","READ-ONLY queries; never infer product WRITE support from this surface","derived/storefront projections: attributes, images, links, input options, stock flags, price/priceRange, variants, videos","service schema / live service response","https://developer.adobe.com/commerce/webapi/graphql/schema/storefront-services/"
inventory_management_rest,"Magento Open Source + Adobe Commerce PaaS where MSI is available","current Adobe docs","Source/SourceItem/Stock/StockSourceLink/SalesChannel inventory topology","READ/WRITE for source items and inventory topology; salable quantity is derived","per-SKU inventory plus explicit MSI source/stock/sales-channel topology","versioned baseline + live source/stock topology","https://developer.adobe.com/commerce/webapi/rest/inventory/"
catalog_pricing_rest,"Magento Open Source + Adobe Commerce PaaS; some semantics edition-sensitive","current Adobe docs","base/special/tier/cost price storage APIs","READ/WRITE endpoint families; product-type and edition restrictions apply","pricing cluster and scope/temporal semantics","versioned baseline + real target certification","https://developer.adobe.com/commerce/webapi/rest/modules/catalog/catalog-pricing"
b2b_shared_catalog,"Adobe Commerce B2B only","current Adobe docs","company-specific product/category visibility and tier pricing","READ/WRITE membership; tier-price storage write guidance is PaaS-only where Adobe documents it","B2B edition-specific capability inventory; do not generalize into core product fields","versioned B2B baseline + feature detection","https://developer.adobe.com/commerce/webapi/rest/b2b/integrations"
live_eav_discovery,"connected Magento/Adobe PaaS account","target-specific","actual attribute dictionary and current custom/module fields","READ metadata; WRITE semantics must be proven separately","authoritative account schema reality beyond any finite baseline","immutable latest successful snapshot + diff/reconciliation","live /V1/products/attributes endpoints through connector"
live_attribute_set_membership,"connected Magento/Adobe PaaS account","target-specific","which attributes apply to the selected/configured product schema context","READ metadata; not a Product field write","effective applicability and mapping/readiness filtering","refresh with account discovery/setup metadata","live /V1/products/attribute-sets endpoints through connector"
custom_attribute_metadata_v2,"Magento Open Source + Adobe Commerce PaaS + Adobe Commerce SaaS","current Adobe GraphQL reference","attribute schema/applicability/storefront/swatch metadata","READ metadata; no Product WRITE proof","schema metadata for normalization, filtering and readiness","versioned schema + live introspection where available","https://developer.adobe.com/commerce/webapi/graphql/schema/attributes/queries/custom-attribute-metadata-v2/"
product_rma,"Adobe Commerce only","current Adobe Commerce docs","product return/RMA eligibility capability","edition-specific; exact connector Admin REST write key unresolved in this research pass","fulfillment-policy inventory; do not expose guessed generic field","versioned Adobe Commerce feature docs + live capability evidence","https://experienceleague.adobe.com/en/docs/commerce-admin/stores-sales/order-management/returns/rma-configure"
product_gift_options,"Magento Open Source: gift messages; Adobe Commerce: additional gift options","current Adobe Commerce docs","product gift-message/gift-wrap capability","edition-specific; GraphQL/read representation does not prove Admin REST write key","gift/merchandising inventory and edition gating","versioned feature docs + live capability evidence","https://experienceleague.adobe.com/en/docs/commerce-admin/catalog/products/settings/product-gift-options"
